Station ID,City,State,decimal_latitude,decimal_longitude,time_zone
8735180,Dauphin Island,AL,30.25,-88.075,America/Chicago
8735391,Dog River Bridge,AL,30.565,-88.08833333,America/Chicago
8735523,East Fowl River Bridge,AL,30.44333333,-88.11333333,America/Chicago
8736897,Coast Guard Sector Mobile,AL,30.65,-88.05833333,America/Chicago
8737048,Mobile State Docks,AL,30.705,-88.04,America/Chicago
8737138,Chickasaw Creek,AL,30.78166667,-88.07333333,America/Chicago
8738043,West Fowl River Bridge,AL,30.37666667,-88.15833333,America/Chicago
8739803,Bayou La Batre Bridge,AL,30.40666667,-88.24833333,America/Chicago
9450460,Ketchikan,AK,55.33166667,-131.6266667,America/Sitka
9451054,Port Alexander,AK,56.24666667,-134.6483333,America/Sitka
9451600,Sitka,AK,57.05166667,-135.3433333,America/Sitka
9452210,Juneau,AK,58.29833333,-134.41,America/Juneau
9452400,"Skagway, Taiya Inlet",AK,59.45,-135.3283333,America/Juneau
9452634,Elfin Cove,AK,58.195,-136.3466667,America/Juneau
9453220,"Yakutat, Yakutat Bay",AK,59.54833333,-139.7333333,America/Yakutat
9454050,Cordova,AK,60.55666667,-145.755,America/Anchorage
9454240,Valdez,AK,61.125,-146.3616667,America/Anchorage
9455090,Seward,AK,60.12,-149.4283333,America/Anchorage
9455500,Seldovia,AK,59.44,-151.72,America/Anchorage
9455760,Nikiski,AK,60.68333333,-151.3983333,America/Anchorage
9455920,Anchorage,AK,61.23666667,-149.89,America/Anchorage
9457292,Kodiak Island,AK,57.73,-152.5133333,America/Anchorage
9457804,Alitak,AK,56.89666667,-154.2483333,America/Anchorage
9459450,Sand Point,AK,55.33166667,-160.505,America/Anchorage
9459881,King Cove,AK,55.06,-162.3266667,America/Nome
9461380,Adak Island,AK,51.86,-176.6383333,America/Adak
9461710,Atka,AK,52.23166667,-174.1733333,America/Adak
9462450,Nikolski,AK,52.94,-168.8716667,America/Nome
9462620,Unalaska,AK,53.88,-166.54,America/Nome
9463502,Port Moller,AK,55.985,-160.5733333,America/Anchorage
9464212,"Village Cove, St Paul Island",AK,57.125,-170.285,America/Nome
9468333,Unalakleet,AK,63.87166667,-160.785,America/Anchorage
9468756,"Nome, Norton Sound",AK,64.495,-165.44,America/Nome
9491094,Red Dog Dock,AK,67.575,-164.065,America/Nome
9497645,Prudhoe Bay,AK,70.41166667,-148.5316667,America/Anchorage
2695535,Bermuda Biological Station,Bermuda,32.37,-64.695,Atlantic/Bermuda
2695540, St. Georges Island,Bermuda,32.37333333,-64.70333333,Atlantic/Bermuda
9410170,San Diego,CA,32.715,-117.1766667,America/Los_Angeles
9410230,La Jolla,CA,32.86666667,-117.2566667,America/Los_Angeles
9410660,Los Angeles,CA,33.72,-118.2716667,America/Los_Angeles
9410840,Santa Monica,CA,34.00833333,-118.5,America/Los_Angeles
9411340,Santa Barbara,CA,34.405,-119.6916667,America/Los_Angeles
9412110,Port San Luis,CA,35.17666667,-120.76,America/Los_Angeles
9413450,Monterey,CA,36.60833333,-121.8916667,America/Los_Angeles
9414290,San Francisco,CA,37.80666667,-122.4666667,America/Los_Angeles
9414523,Redwood City,CA,37.50666667,-122.2116667,America/Los_Angeles
9414750,Alameda,CA,37.77166667,-122.3,America/Los_Angeles
9414863,Richmond,CA,37.92833333,-122.4,America/Los_Angeles
9415020,Point Reyes,CA,37.995,-122.9733333,America/Los_Angeles
9415102,Martinez-Amorco Pier,CA,38.035,-122.125,America/Los_Angeles
9415144,Port Chicago,CA,38.05666667,-122.04,America/Los_Angeles
9416841,Arena Cove,CA,38.915,-123.7116667,America/Los_Angeles
9418767,North Spit,CA,40.76666667,-124.2166667,America/Los_Angeles
9419750,Crescent City,CA,41.745,-124.185,America/Los_Angeles
9751364,"Christiansted Harbor, St Croix",VI,17.74833333,-64.69833333,America/St_Thomas
9751381,"Lameshur Bay, St John",VI,18.31833333,-64.725,America/St_Thomas
9751401,Lime Tree Bay,VI,17.695,-64.75333333,America/St_Thomas
9751639,Charlotte Amalie,VI,18.33,-64.925,America/St_Thomas
9752235,Culebra,PR,18.30166667,-65.30166667,America/Puerto_Rico
9752695,"Esperanza, Vieques Island",PR,18.09333333,-65.47166667,America/Puerto_Rico
9755371,"San Juan, La Puntilla, San Juan Bay",PR,18.45833333,-66.11666667,America/Puerto_Rico
9759110,Magueyes Island,PR,17.97,-67.04666667,America/Puerto_Rico
9759394,Mayaguez,PR,18.21833333,-67.16166667,America/Puerto_Rico
9759938,Mona Island,PR,18.09,-67.93833333,America/Puerto_Rico
8461490,New London,CT,41.37166667,-72.095,America/New_York
8465705,New Haven,CT,41.28333333,-72.90833333,America/New_York
8467150,Bridgeport,CT,41.175,-73.18333333,America/New_York
8551762,Delaware City,DE,39.58166667,-75.58833333,America/New_York
8551910,Reedy Point,DE,39.55833333,-75.57166667,America/New_York
8555889,Brandywine Shoal Light,DE,38.98666667,-75.11333333,America/New_York
8557380,Lewes,DE,38.78333333,-75.12,America/New_York
8594900,Washington,DC,38.87333333,-77.02166667,America/New_York
8720030,Fernandina Beach,FL,30.67166667,-81.46666667,America/New_York
8720218,Mayport (Bar Pilots Dock),FL,30.39833333,-81.42833333,America/New_York
8720219,Dames Point,FL,30.38666667,-81.55833333,America/New_York
8720226,"Southbank Riverwalk, St Johns River",FL,30.32,-81.65833333,America/New_York
8720357,I-295 Buckman Bridge,FL,30.19166667,-81.69,America/New_York
8721604,"Trident Pier, Port Canaveral",FL,28.415,-80.59333333,America/New_York
8722670,"Lake Worth Pier, Atlantic Ocean",FL,26.61333333,-80.035,America/New_York
8722956,South Port Everglades,FL,26.08166667,-80.11666667,America/New_York
8723214,"Virginia Key, Biscayne Bay",FL,25.73166667,-80.16166667,America/New_York
8723970,"Vaca Key, Florida Bay",FL,24.71166667,-81.10666667,America/New_York
8724580,Key West,FL,24.555,-81.80833333,America/New_York
8725110,"Naples, Gulf of Mexico",FL,26.13166667,-81.80833333,America/New_York
8725520,Fort Myers,FL,26.64833333,-81.87166667,America/New_York
8726384,Port Manatee,FL,27.63833333,-82.56166667,America/New_York
8726520,"St. Petersburg, Tampa Bay",FL,27.76166667,-82.62666667,America/New_York
8726607,Old Port Tampa,FL,27.85833333,-82.55333333,America/New_York
8726674,East Bay,FL,27.92333333,-82.42166667,America/New_York
8726724,Clearwater Beach,FL,27.97833333,-82.83166667,America/New_York
8727520,Cedar Key,FL,29.135,-83.03166667,America/New_York
8728690,Apalachicola,FL,29.725,-84.98,America/New_York
8729108,Panama City,FL,30.15,-85.665,America/Chicago
8729210,Panama City Beach,FL,30.21333333,-85.87833333,America/Chicago
8729840,Pensacola,FL,30.405,-87.21166667,America/Chicago
8670870,Fort Pulaski,GA,32.035,-80.90333333,America/New_York
8679598,Kings Bay MSF Pier,GA,30.77833333,-81.49166667,America/New_York
9044020,Gibraltar,MI,42.09166667,-83.18666667,America/Detroit
9044030,Wyandotte,MI,42.20166667,-83.14666667,America/Detroit
9044036,Fort Wayne,MI,42.29833333,-83.09333333,America/Detroit
9044049,Windmill Point,MI,42.35833333,-82.93,America/Detroit
9063020,Buffalo,NY,42.87666667,-78.89,America/New_York
9063028,Sturgeon Point,NY,42.69166667,-79.04666667,America/New_York
9063038,"Erie, Lake Erie",PA,42.15333333,-80.075,America/New_York
9063053,Fairport,OH,41.76,-81.28166667,America/New_York
9063063,Cleveland,OH,41.54166667,-81.635,America/New_York
9063079,Marblehead,OH,41.54333333,-82.73166667,America/New_York
9063085,Toledo,OH,41.69333333,-83.47166667,America/New_York
9063090,Fermi Power Plant,MI,41.96,-83.25666667,America/Detroit
9075002,Lakeport,MI,43.14,-82.49333333,America/Detroit
9075014,Harbor Beach,MI,43.84666667,-82.64333333,America/Detroit
9075035,Essexville,MI,43.64166667,-83.84666667,America/Detroit
9075065,Alpena,MI,45.06333333,-83.42833333,America/Detroit
9075080,Mackinaw City,MI,45.77666667,-84.72166667,America/Detroit
9075099,De Tour Village,MI,45.99166667,-83.89833333,America/Detroit
9087023,Ludington,MI,43.94666667,-86.44166667,America/Detroit
9087031,Holland,MI,42.77333333,-86.21333333,America/Detroit
